,Failed S11,Failed S22,Failed S33,Failed S12,Failed S13,Failed S23,F11,F22,F33,F12,F13,F23,E11,E22,E33,E12,E13,E23
0,True,True,False,True,True,True,0.999943103585612,0.22172593250014677,1.0,0.31322749648827525,0.3937197905882574,0.5564191890822456,0.01575,0.01575,0.00047249999999999994,0.01575,0.00047249999999999994,0.00047249999999999994
1,True,True,False,True,True,True,0.9988934305909983,0.20558729465358272,1.0,0.16093478692265714,0.3507805701866159,0.41696309533940373,0.016,0.016,0.00047999999999999996,0.016,0.00047999999999999996,0.00047999999999999996
2,False,True,True,False,True,True,1.0,0.12864338338868161,0.7942247919521406,1.0,0.9883690612338369,0.16318569329423951,0.0095,0.0095,0.000285,0.0095,0.000285,0.000285
3,True,True,True,True,False,True,0.012024395640869611,0.1822585915449472,0.6413483845413909,0.31849263464186434,1.0,0.08101262633685068,0.02,0.02,0.0006,0.02,0.0006,0.0006
4,False,True,True,True,True,True,1.0,0.10165609865309294,0.7115234154562479,-1.0394257449632043,-0.5357404043688975,0.31512305114779154,0.02,0.02,0.0006,0.02,0.0006,0.0006
5,True,True,False,True,True,True,0.9988969083107155,0.23812633399446845,1.0,0.14293536787924147,0.37581020936821075,0.36717194053900265,0.0159,0.0159,0.00047699999999999994,0.00159,0.00047699999999999994,0.00047699999999999994
6,True,True,False,True,True,True,0.9988529565514984,0.22501048587208833,1.0,0.17706927165224876,0.37501355648390355,0.3955553779812272,0.016,0.016,0.00047999999999999996,0.0016,0.00047999999999999996,0.00047999999999999996
7,True,True,False,True,True,True,0.9841213700670142,0.2145938002776342,1.0,0.018625349925898045,-0.18533475556264456,0.251842226252203,0.0165,0.0165,0.000495,0.00165,0.000495,0.000495
8,True,True,True,False,False,True,0.011825583280723362,0.2136806057627738,0.5168443212557837,1.0,1.0,0.4444831683833501,0.02,0.02,0.0006,0.002,0.0006,0.0006
9,True,True,True,True,True,True,0.0139653787280187,0.12109090721936004,0.49382595604425034,0.2709504666119124,0.6211067240877438,0.18210499132910354,0.025,0.025,0.00075,0.0025,0.00075,0.00075
10,True,True,True,True,True,True,0.9998781815551646,0.14391222798136458,0.6600724615828677,0.2858589946884598,0.12545441170569907,0.9998218099884882,0.01575,0.001575,0.00047249999999999994,0.01575,0.00047249999999999994,0.00047249999999999994
11,True,True,True,True,True,True,0.9986028245600787,0.1631842284995127,0.610939797709877,0.18185718158766273,0.4867338270248934,0.11978536567200654,0.016,0.0016,0.00047999999999999996,0.016,0.00047999999999999996,0.00047999999999999996
12,True,True,True,True,False,False,0.5164923541909806,0.1483034929923289,0.4077257901730568,0.09557305327921035,1.0,1.0,0.0165,0.00165,0.000495,0.0165,0.000495,0.000495
13,True,True,True,True,False,True,0.009782551296215232,0.11914577722532974,0.28389101950003276,0.24477366016028684,1.0,0.5295153039869231,0.02,0.002,0.0006,0.02,0.0006,0.0006
14,False,True,True,True,True,True,1.0,0.11604474547815799,0.5963580300782501,-0.6414097884424544,-0.6956606196560355,0.6033412356140659,0.02,0.002,0.0006,0.02,0.0006,0.0006
15,True,True,True,True,True,True,0.999600692133635,0.17051617568911992,0.7071565060895065,0.269968135953266,0.3689824447627025,0.9999412500160642,0.0158,0.00158,0.00047400000000000003,0.00158,0.00047400000000000003,0.00047400000000000003
16,True,True,True,True,True,True,0.9987941410327429,0.3355618105684801,0.5791427413776874,0.24070960929250262,0.401913440227741,-2.896915320582126,0.016,0.0016,0.00047999999999999996,0.0016,0.00047999999999999996,0.00047999999999999996
17,True,True,True,True,True,True,0.9837853795618802,0.15970748377483812,0.6986032378224633,-0.3498575670036912,-0.16721419793873002,0.16249025686836047,0.0165,0.00165,0.000495,0.00165,0.000495,0.000495
18,True,True,True,True,True,True,0.010882700579894003,0.1327583669278845,0.4788841726262243,-1.0667813813682996,-16.49101062008429,0.7213424260323256,0.02,0.002,0.0006,0.002,0.0006,0.0006
19,False,True,True,True,True,True,1.0,0.12094531435969785,0.6018690540812608,-0.5044360330048867,-0.438548756390553,0.5248291341958587,0.02,0.002,0.0006,0.002,0.0006,0.0006
20,True,True,True,True,True,True,0.9780442951643117,0.7591041876069424,0.7684129923783745,0.8638362606776082,-3.620361367687571,-10.220742967575694,0.000285,0.00285,8.55e-05,0.00285,8.55e-05,8.55e-05
21,True,True,True,True,True,True,0.9216675111863067,0.09862171481112558,0.1455801388551206,0.3730082502154907,0.5781728286403967,-1.1416803682321477,0.00035,0.0035,0.000105,0.0035,0.000105,0.000105
22,True,True,True,True,True,True,0.9318195420873562,0.055629356120970114,0.11274595214823,0.37208148789075546,0.9160024524831392,0.22433239011507264,0.0004,0.004,0.00011999999999999999,0.004,0.00011999999999999999,0.00011999999999999999
23,False,True,True,False,False,True,1.0,0.13796015443126333,0.6076282151133774,1.0,1.0,0.44123954896910106,0.005,0.05,0.0015,0.05,0.0015,0.0015
24,False,True,True,False,False,True,1.0,0.1546774094137145,0.6074703699996057,1.0,1.0,0.33403737140457695,0.005,0.05,0.0015,0.05,0.0015,0.0015
25,True,True,True,True,True,True,0.9855259612793965,0.7951997155784524,0.8042997492010602,0.8479813146479813,0.4472594843006844,-9.998099027969634,0.00028,0.0028,8.4e-05,0.00028,8.4e-05,8.4e-05
26,True,True,True,True,True,True,0.9831277659755121,0.6185203549298689,0.6342813657239934,0.738416758583259,0.7231087532836501,-4.601121757792866,0.000325,0.00325,9.75e-05,0.000325,9.75e-05,9.75e-05
27,False,True,True,True,False,True,1.0,0.06313529180846573,0.13056598061374158,0.418260724000837,1.0,0.37399818000416624,0.00045,0.0045,0.000135,0.00045,0.000135,0.000135
28,False,True,True,False,False,True,1.0,0.1925845085494652,0.6698502476060577,1.0,1.0,0.23311032258628375,0.005,0.05,0.0015,0.005,0.0015,0.0015
29,False,True,True,False,False,True,1.0,0.1970196067688894,0.6646948724249125,1.0,1.0,0.2528868360277136,0.005,0.05,0.0015,0.005,0.0015,0.0015
30,False,True,True,True,True,True,1.0,0.6141929289245668,0.29802846022178414,0.6060371189211625,-0.2518897335927724,0.7440350740249265,0.005,0.005,0.0015,0.05,0.0015,0.0015
31,False,True,True,True,True,True,1.0,0.6180918509355188,0.2685295787680596,0.5863473640192969,-0.18107110637250884,0.4393151658376163,0.005,0.005,0.0015,0.05,0.0015,0.0015
32,False,True,True,True,True,True,1.0,0.7374901722082731,0.2975351237100584,0.7202119066105138,0.570516996516615,0.7811877981738333,0.005,0.005,0.0015,0.05,0.0015,0.0015
33,False,True,True,True,False,True,1.0,0.09098140914984845,0.6910061355813838,0.5309710966973443,1.0,0.5034831629585087,0.005,0.005,0.0015,0.05,0.0015,0.0015
34,False,True,True,True,False,True,1.0,0.06192297215549903,0.4536661067537839,0.5282165643591823,1.0,0.2734390022086527,0.005,0.005,0.0015,0.05,0.0015,0.0015
35,False,True,True,False,True,True,1.0,0.11364770073238721,0.8071542402969417,1.0,0.9883403900923711,0.5897294849036067,0.005,0.005,0.0015,0.005,0.0015,0.0015
36,False,True,True,False,True,True,1.0,0.11238364986837157,0.7258087814111025,1.0,0.8669119875067011,0.5087321738239662,0.005,0.005,0.0015,0.005,0.0015,0.0015
37,False,True,True,True,True,True,1.0,0.10951626266542007,0.6955637368583797,0.9767754306411043,0.8550120293227109,0.5303510304627415,0.005,0.005,0.0015,0.005,0.0015,0.0015
38,False,True,True,True,True,True,1.0,0.25804823544876543,0.3670966720050685,0.9771803174648963,0.9592102421911429,-0.9764820572943216,0.005,0.005,0.0015,0.005,0.0015,0.0015
39,False,True,True,True,False,True,1.0,0.08896628376393487,0.7869893587111833,0.801425679927023,1.0,0.7503027380979078,0.005,0.005,0.0015,0.005,0.0015,0.0015
40,True,True,True,True,True,True,0.9996352043045892,0.18055498281142807,0.9061879262208796,0.3004672065874858,0.44002960609452285,0.3050784427290537,0.0158,0.00474,0.00047400000000000003,0.00474,0.00047400000000000003,0.00047400000000000003
41,True,True,True,True,True,False,0.9986730200856505,0.17047689020451334,0.8825644980977719,0.2128976446398422,0.30220913247356684,1.0,0.016,0.0048,0.00047999999999999996,0.0048,0.00047999999999999996,0.00047999999999999996
42,True,True,True,True,True,True,0.982653392611174,0.17081199683032233,0.8590731943219639,-0.20241841295853538,-0.29545218467591855,0.056080205598831104,0.0165,0.00495,0.000495,0.00495,0.000495,0.000495
43,True,True,True,True,True,True,0.011525861919986176,0.13009657442065864,0.5732230874207274,0.5617907267589978,-6.191927658817852,0.5299546395883374,0.02,0.006,0.0006,0.006,0.0006,0.0006
44,False,True,False,True,True,True,1.0,0.1340112675333342,1.0,-0.8075369205654193,-0.4565499540760706,0.408659402170944,0.02,0.006,0.0006,0.006,0.0006,0.0006
45,True,True,True,True,True,True,0.9866887310300292,0.48604660351807355,0.5602848207680409,0.7242639547296289,-1.2814402147104724,-5.029315553194639,0.000775,0.002325,0.0002325,0.002325,0.0002325,0.0002325
46,False,True,True,True,True,True,1.0,0.7053821424867779,0.7533962152221629,0.8685582874628552,-0.8648250291969777,-4.177069049342893,0.00085,0.00255,0.00025499999999999996,0.00255,0.00025499999999999996,0.00025499999999999996
47,False,True,True,True,True,True,1.0,0.42244502005515583,0.5208356420737891,0.6767398217227324,-0.4062250968327804,-3.852546529652556,0.00095,0.00285,0.000285,0.00285,0.000285,0.000285
48,True,True,True,True,False,False,0.37095820719058453,-29.16609509361694,-48.13614466418739,0.9564112701605869,1.0,1.0,0.00475,0.01425,0.001425,0.01425,0.001425,0.001425
49,False,True,True,False,False,True,1.0,0.13997006577651738,0.8580644632098725,1.0,1.0,0.7486357014541197,0.005,0.015,0.0015,0.015,0.0015,0.0015
50,False,True,True,True,True,True,1.0,0.4194447729922444,0.4666297803276642,0.635275078682261,0.08482296327801779,-9.144560989547807,0.00081,0.0027,8.1e-05,0.00081,8.1e-05,8.1e-05
51,False,True,False,True,True,True,1.0,0.3060753221924764,1.0,0.7830546825895662,0.802146228203737,0.19409484674514094,0.015,0.05,0.0015,0.015,0.0015,0.0015
52,False,True,False,True,True,True,1.0,0.2880403523215555,1.0,0.7964781662520032,0.8138753117492605,0.1266731244446794,0.015,0.05,0.0015,0.015,0.0015,0.0015
53,False,True,False,True,True,True,1.0,0.1892370312453538,1.0,0.8820122902614081,0.8782645313120491,0.6476689159398868,0.015,0.05,0.0015,0.015,0.0015,0.0015
54,False,True,False,True,True,True,1.0,0.1841103012711121,1.0,0.9511540375936065,0.9428514656243553,0.21233841625358754,0.015,0.05,0.0015,0.015,0.0015,0.0015
55,False,True,False,True,True,True,1.0,0.18771429485692345,1.0,0.7886527033345304,0.7851110587205093,0.6991041635919567,0.015,0.005,0.0015,0.015,0.0015,0.0015
56,False,True,True,True,True,True,1.0,0.19324187271512247,0.9605013205897567,0.7981997439877985,0.7607259665222876,0.846304970868835,0.015,0.005,0.0015,0.015,0.0015,0.0015
57,False,True,True,True,True,True,1.0,0.3659576073871977,0.8961983746833443,0.8155336600055473,0.948494977020884,-2.1292753447544515,0.015,0.005,0.0015,0.015,0.0015,0.0015
58,False,True,False,True,True,True,1.0,0.14251222815368025,1.0,0.8926710355526007,0.8698282654345417,0.46049667132258243,0.015,0.005,0.0015,0.015,0.0015,0.0015
59,False,True,True,True,True,True,1.0,0.10723290105983807,0.8932690833844267,0.8980828026941909,0.9313438360787815,0.5241812919800664,0.015,0.005,0.0015,0.015,0.0015,0.0015
60,False,True,False,True,True,True,1.0,0.15569800941437797,1.0,0.7391811914205473,0.6132873267824005,0.717670598295181,0.015,0.015,0.0015,0.05,0.0015,0.0015
61,False,True,False,True,True,True,1.0,0.2288639406218483,1.0,0.7471203511159239,0.8661749469633431,-1.0746821712482555,0.015,0.015,0.0015,0.05,0.0015,0.0015
62,False,True,False,True,True,True,1.0,0.14433310916077227,1.0,0.7594840386901596,0.5940575382491291,0.724691349319946,0.015,0.015,0.0015,0.05,0.0015,0.0015
63,False,True,False,True,True,True,1.0,0.12682719837636058,1.0,0.841896926257464,0.796814783704326,0.33340720979547167,0.015,0.015,0.0015,0.05,0.0015,0.0015
64,False,True,False,True,True,True,1.0,0.09231504915030204,1.0,0.9167386335792927,0.8624439798921898,0.34411188485636146,0.015,0.015,0.0015,0.05,0.0015,0.0015
65,False,True,False,True,True,True,1.0,0.2488421322023984,1.0,0.781134328358209,0.7659396492967346,0.654589734399182,0.015,0.015,0.0015,0.005,0.0015,0.0015
66,False,True,False,True,True,True,1.0,0.32153434600678665,1.0,0.7821564316521497,0.8285844096839099,-2.277454738888787,0.015,0.015,0.0015,0.005,0.0015,0.0015
67,False,True,False,True,True,True,1.0,0.22752175131441993,1.0,0.8038581380481434,0.7795146965716745,0.7310022543678377,0.015,0.015,0.0015,0.005,0.0015,0.0015
68,False,True,False,True,True,True,1.0,0.19593428794316917,1.0,0.8890417980729968,0.8668039842597146,0.43828194166161877,0.015,0.015,0.0015,0.005,0.0015,0.0015
69,False,True,False,True,True,True,1.0,0.1439956554059989,1.0,0.9616325107782006,0.9344985367408033,0.4357332379464038,0.015,0.015,0.0015,0.005,0.0015,0.0015
